latitude,longitude
43.4705502,-80.5406916
43.4705764,-80.5406003
43.4706155,-80.5404886
43.4706445,-80.540426
43.47066339999999,-80.540384
43.470679499999996,-80.5403482
43.4706979,-80.5402991
43.47071909999999,-80.5402398
43.47075039999999,-80.5401537
43.4707691,-80.5401023
43.47079430000001,-80.5400167
43.470809899999985,-80.5399673
43.47081159999999,-80.5399488
43.47080600000001,-80.5399271
43.47079240000001,-80.5399003
43.47075629999999,-80.5398683
43.47071650000001,-80.5398332
43.470693,-80.5398041
43.4706601,-80.5397635
43.4706463,-80.5397472
43.4705997,-80.5396696
43.4705549,-80.539565
43.470510899999994,-80.5394183
43.47050250000001,-80.5393703
43.47049689999999,-80.5393346
43.47049739999999,-80.5392984
43.470587800000004,-80.5390405
43.470611299999995,-80.5389669
43.470627,-80.5389132
43.47065419999999,-80.5388514
43.470699,-80.5387925
43.4707216,-80.5387787
43.47075349999999,-80.5387711
43.4708255,-80.5387603
43.4709267,-80.5387684
43.47099490000001,-80.5387898
43.4710669,-80.5388354
43.4712815,-80.5391897
43.471326,-80.5392638
43.4713684,-80.5392342
43.4714365,-80.539356
43.4717398,-80.5398407
43.4718351,-80.539981
43.4720196,-80.5402527
43.47203780000001,-80.5402803
43.4720636,-80.5403127
43.47236410000001,-80.5407021
43.47241120000001,-80.5407639
43.4724691,-80.5408334
43.472563099999995,-80.54094510000002
43.4727864,-80.5411961
43.4730252,-80.5414372
43.4731285,-80.54154
43.473289,-80.5416797
43.47350829999999,-80.5418718
43.473488299999985,-80.5419156
43.4734787,-80.5419724
43.47349869999999,-80.5419888
43.473532299999995,-80.54202
43.4733902,-80.5424075
43.47316210000002,-80.5430479
43.4731079,-80.5432003
43.4729865,-80.5435434
43.47293090000001,-80.5437004
43.4728891,-80.5438166
43.4728416,-80.5439509
43.472819199999996,-80.5440149
43.4727796,-80.5438972
43.47276239999999,-80.5438433
43.4727075,-80.5436839
43.4726864,-80.5436691
43.472630899999984,-80.5436328
43.47258579999998,-80.5436107
