Latitude,Longitude
43.46839289999999,-80.5448522
43.469379800000006,-80.5447015
43.4699619,-80.5454176
43.471419899999994,-80.5472066
43.4689458,-80.5448999
43.46981589999999,-80.5453291
43.4701079,-80.5448678
43.4687842,-80.54491340000001
43.470995599999995,-80.5466407
43.46864990000001,-80.5449509
43.46978130000001,-80.544928
43.47083789999999,-80.5450099
43.4709177,-80.5468231
43.469356399999995,-80.5448141
43.4690626,-80.5422667
43.47057509999999,-80.5455179
43.47196459999999,-80.5424269
43.4723589,-80.5414196
43.4707651,-80.5386002
43.4708644,-80.5387182
43.470729999999996,-80.5386645
43.4709267,-80.5388121
43.470607300000005,-80.5386377
43.47064039999999,-80.5386941
43.47086830000001,-80.53863240000001
43.47103559999999,-80.5389086
43.470893499999995,-80.5387987
43.47202049999999,-80.5445625
43.47208479999999,-80.5446003
43.4719271,-80.5444876
43.4718706,-80.5444927
43.4718082,-80.5444096
43.4722385,-80.5447129
43.4732468,-80.545123
43.47272889999999,-80.5448414
43.4729081,-80.5448521
43.4725616,-80.5448951
43.47238260000001,-80.5448283
43.47232999999999,-80.5447612
43.4729432,-80.5455522
43.4730968,-80.5450292
43.4733091,-80.5451686
43.4731747,-80.5450426
43.4733791,-80.5451928
43.4729704,-80.5449299
43.47281649999999,-80.5448119
43.4726357,-80.544906
43.4730501,-80.5449541
43.4719971,-80.5443908
43.4728288,-80.5446846
43.47271779999999,-80.5446511
43.473276399999996,-80.5449663
43.47348219999999,-80.5450077
43.4725758,-80.5447383
43.473214199999994,-80.5449126
43.4729105,-80.5447275
43.473717699999995,-80.5447958
43.47207490000001,-80.5444364
43.47193479999999,-80.5443345
43.472442799999996,-80.5446644
43.47185499999999,-80.5442942
43.473041,-80.5447973
43.47340689999999,-80.5449394
43.47179070000001,-80.5442299
43.47363219999999,-80.5448334
43.4721617,-80.5444715
43.4731139,-80.544859
43.472982599999995,-80.5447919
43.47339910000001,-80.5450443
43.4726516,-80.5447168
43.4723903,-80.5445625
43.4733562,-80.5450092
43.4735504,-80.5448629
43.47379370000001,-80.5448039
43.47358009999999,-80.5422438
43.4734321,-80.5420212
43.47251489999999,-80.5415345
43.473498299999996,-80.5424262
43.47304050000001,-80.5456192
43.4724506,-80.5411322
43.473605299999996,-80.5421687
43.4727134,-80.5413709
43.473757199999994,-80.5421419
43.47300969999999,-80.5416272
43.473208400000004,-80.5418096
43.4731163,-80.5454583
43.473089599999994,-80.5417264
43.47244140000001,-80.54064
43.472433200000005,-80.5414728
43.47259659999999,-80.5415855
43.47250910000001,-80.5410812
43.47290419999999,-80.5414889
43.4734711,-80.5423726
43.47264919999999,-80.5414245
43.47237909999999,-80.5405598
43.4728307,-80.5410691
43.472540099999996,-80.5413709
43.47247779999999,-80.5413253
43.47296500000001,-80.5412223
43.4733757,-80.5422197
43.4731382,-80.5413913
43.4735314,-80.5423565
43.4732798,-80.5453108
43.47265509999999,-80.54129310000002
43.4733737,-80.5420856
43.473144,-80.5417854
43.47323110000001,-80.5454342
43.47273729999999,-80.5409755
43.472618499999996,-80.5408227
43.4723158,-80.5431433
43.472716899999995,-80.54305480000001
43.47239379999999,-80.5429046
43.472512399999985,-80.5427437
43.4724541,-80.5427786
43.472419099999996,-80.5430173
43.47265070000001,-80.5432399
43.4726781,-80.5431443
43.47296870000001,-80.5433352
43.472323599999996,-80.5433472
43.472456,-80.5429017
43.47236839999999,-80.5433981
43.47275189999999,-80.5429583
43.472370399999996,-80.5431406
43.47221270000001,-80.5434303
43.47229449999999,-80.5434732
43.4722745,-80.54326700000001
43.47235859999999,-80.5430307
43.47236259999999,-80.5435242
43.4709338,-80.5427142
43.4702408,-80.5412497
43.4701085,-80.5412658
43.47037330000001,-80.5400722
43.47096419999999,-80.5384436
43.470976699999994,-80.5396296
43.471322400000005,-80.5389854
43.470447899999996,-80.5394092
43.4709358,-80.5397611
43.470641799999996,-80.5398281
43.47159289999999,-80.5394306
43.47040049999999,-80.5396833
43.47061850000001,-80.5395438
43.47088519999999,-80.5399086
43.47062629999999,-80.5399488
43.471242600000004,-80.5391785
43.471423599999994,-80.5391544
43.4707353,-80.5399059
43.4717818,-80.5397391
43.47050949999999,-80.539871
43.4714702,-80.539605
43.4713885,-80.539098
43.4719031,-80.5399113
43.470388799999995,-80.5395975
43.47188100000001,-80.5398625
43.470451099999984,-80.5394633
43.47128539999999,-80.5389156
43.47124449999999,-80.5388513
43.4718089,-80.5397766
43.46957869999999,-80.54042470000002
43.4731966,-80.5426211
43.469876,-80.540639
43.469502299999995,-80.5389841
43.46969099999999,-80.54067380000001
43.46982259999999,-80.5411314
43.4695724,-80.54079720000001
43.470060999999994,-80.5386246
43.469681300000005,-80.5388634
43.4701447,-80.5414463
43.469015599999985,-80.5392305
43.46988189999999,-80.5408831
43.4690468,-80.5393166
43.470687700000006,-80.5426721
43.470153800000006,-80.5418903
43.469932400000005,-80.5411405
43.4692785,-80.5391799
43.46996939999999,-80.54066580000001
43.46997339999999,-80.5409394
43.46936409999999,-80.5390538
43.4695627,-80.5389304
43.46915769999999,-80.5394561
43.469255000000004,-80.53928180000001
43.4696735,-80.5407463
43.469989,-80.5386702
43.46931729999999,-80.5391098
43.469645699999994,-80.5409978
43.4699499,-80.5412532
43.4706119,-80.5425192
43.472626399999996,-80.5472879
43.472604999999994,-80.5467407
43.4721886,-80.5469446
43.4725622,-80.5472504
43.4725057,-80.5469339
43.472828899999996,-80.54668440000002
43.472861900000005,-80.5467649
43.4724649,-80.546612
43.4720483,-80.54709750000002
43.47214569999999,-80.5470438
43.4726731,-80.5468614
43.47281119999999,-80.547127
43.4725019,-80.54679970000001
43.47289099999999,-80.5466817
43.46937270000001,-80.5412953
43.4693261,-80.5410101
43.46946029999999,-80.5410289
43.4708013,-80.5410249
43.47086939999999,-80.5408023
43.47085580000001,-80.54090690000001
43.47088500000001,-80.5407218
43.47278289999999,-80.5435888
43.47265829999999,-80.5440395
43.47265829999999,-80.5445249
43.47161319999999,-80.5458097
43.4725806,-80.5443774
43.4726896,-80.5441628
43.472882299999995,-80.5435137
43.472981600000004,-80.5432214
43.47291739999999,-80.5432053
43.47037,-80.539345
43.469051199999996,-80.5410981
43.46930619999999,-80.5434662
43.46942889999999,-80.5431363
43.46915049999999,-80.5410874
43.4694562,-80.5430371
43.46911159999999,-80.5411303
43.469355,-80.543375
43.4692265,-80.5412617
43.46940169999999,-80.543249
43.4688796,-80.5395895
43.468838599999984,-80.5394471
43.4688601,-80.5395305
43.46881539999999,-80.5393803
43.46906849999999,-80.5391872
43.47356279999999,-80.550202
43.47356619999999,-80.5502808
43.473607799999996,-80.5501518
43.4736165,-80.5500682
43.4736754,-80.5499058
43.4736878,-80.5499915
43.473717,-80.5498485
43.47372049999999,-80.5497649
43.473762099999995,-80.5496503
43.473772499999995,-80.5497387
43.47380370000001,-80.5496097
43.4738071,-80.5495357
43.4738505,-80.5494999
43.4738591,-80.5494163
43.47390939999999,-80.5493542
43.47392150000001,-80.549261
43.473969999999994,-80.549101
43.47400819999999,-80.548996
43.4740099,-80.5490652
43.47405149999999,-80.5488789
43.47405319999999,-80.5489673
43.47408620000001,-80.5488455
43.47410000000001,-80.5487643
43.47412949999999,-80.5486712
43.474136400000006,-80.5487189
43.4741589,-80.5486162
43.4741763,-80.548547
43.47418669999998,-80.5484849
43.4742196,-80.5484347
43.4742583,-80.545999
43.47426469999999,-80.54833200000002
43.4742803,-80.5482556
43.474326999999995,-80.5481649
43.47445210000001,-80.5461963
43.47448380000001,-80.54616840000001
43.47455219999999,-80.5462434
43.46761920000001,-80.543236
43.4747162,-80.5385107
43.4690295,-80.5409652
43.4689857,-80.5408807
43.4700755,-80.5420501
43.470020600000005,-80.5426177
43.4701452,-80.54243800000002
43.4697026,-80.541851
43.46915400000001,-80.5408118
43.469200099999995,-80.5408748
43.4695703,-80.5402532
43.4694698,-80.5401933
43.469636099999995,-80.5400712
43.46941499999999,-80.539757
